# PFIS CCD Geometry data
# Date    gap xshift(1) yshift(1) rot(1) xshift(3) yshift(3) rot(3)
20040101_v1  90  -14.56   3.24    0.0735    1.87      1.31   -0.0380
20040101_v2  90  -14.295  2.207   0.0832    2.002     0.622  -0.0328
20120701_v1  90  -11.92  2.205    0.0820    -1.10     0.522  -0.0388
20141112_v1  96   -8.43   2.33    0.0715    -4.06      0.23  -0.0499

